,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Direction,Dataset
31,ZMIZ1 ENCODE,4/914,0.18459816945223134,0.5999440507197521,0,0,1.7862724958692449,3.0180393395364438,CPT2;AMD1;TCTA;AFF1,up,Encode/ChEA TFs
32,YY1 CHEA,2/332,0.19536524260765809,0.6156965221574681,0,0,2.4588148512417014,4.014960495094728,GPATCH4;KLHL41,up,Encode/ChEA TFs
33,REST CHEA,5/1280,0.20272347650534006,0.6200953398986874,0,0,1.5943877551020411,2.5445032099172264,ZNF672;PTPRD;CTBP2;SCAP;AFF1,up,Encode/ChEA TFs
34,RUNX1 CHEA,5/1294,0.2088602618784944,0.620613349581812,0,0,1.5771378103018645,2.469939523206752,AGPAT5;PURB;KBTBD6;SCFD2;TCTA,up,Encode/ChEA TFs
35,ZEB1 ENCODE,1/106,0.2294909406653387,0.6629738285887562,0,0,3.8505968425105888,5.667661626822366,GGA1,up,Encode/ChEA TFs
36,REST ENCODE,2/383,0.24130650218646166,0.6782669250646489,0,0,2.1314008632173502,3.030185666820973,AGPAT5;SCAP,up,Encode/ChEA TFs
37,SP1 ENCODE,3/707,0.24986172391789604,0.6838320865121365,0,0,1.7319516208180583,2.401952980631467,SETD8;ABCA7;CABIN1,up,Encode/ChEA TFs
38,CREB1 CHEA,5/1444,0.2781327034135631,0.7416872091028349,0,0,1.4133077053536096,1.8085489976517355,PURB;GGA1;SLC31A1;UBAP1;MLF1,up,Encode/ChEA TFs
39,ZBTB7A ENCODE,7/2184,0.2843828307603589,0.7393953599769331,0,0,1.3082155939298796,1.6449947055420302,AGPAT5;ZNF672;GGA1;AP3M1;SCN9A;CKS1B;SGSH,up,Encode/ChEA TFs
40,SOX2 CHEA,3/775,0.295311399610284,0.7490825746212083,0,0,1.579986833443055,1.927149262654508,AGPAT5;ARHGDIA;MTUS1,up,Encode/ChEA TFs
41,TAF1 ENCODE,10/3346,0.2979012969945936,0.7376603544628032,0,0,1.2198543493906828,1.4772351580083722,ZNF672;PURB;COX15;ARHGDIA;AMD1;RBM12B;ZDHHC6;UBAP1;TCTA;RPL7,up,Encode/ChEA TFs
42,SIN3A ENCODE,4/1131,0.2999557156087426,0.7254742889141682,0,0,1.4435482415777985,1.73820592917169,SETD8;SCFD2;AMD1;GPATCH4,up,Encode/ChEA TFs
43,SMC3 ENCODE,4/1181,0.3280559634217473,0.7754050044514027,0,0,1.3824327360071886,1.5408195268122251,MED13;SETD8;ARHGDIA;SCAP,up,Encode/ChEA TFs
44,HDAC2 ENCODE,1/175,0.35024234803788656,0.8094489821320046,0,0,2.332361516034985,2.4469503000523978,ARHGDIA,up,Encode/ChEA TFs
45,FOSL2 ENCODE,1/196,0.3831629644986655,0.8662814849535047,0,0,2.0824656393169514,1.9976986370765084,KLHL41,up,Encode/ChEA TFs
46,RFX5 ENCODE,2/559,0.3995745396069892,0.8841649387048273,0,0,1.4603336862473075,1.3396443341752111,AMD1;CABIN1,up,Encode/ChEA TFs
47,SMAD4 CHEA,2/584,0.421102643134444,0.9123890601246284,0,0,1.3978194017332959,1.2089441810117167,PTPRD;TAF1,up,Encode/ChEA TFs
48,NANOG CHEA,2/595,0.4304571409327214,0.9136233195306741,0,0,1.371977362373521,1.1564500312900794,MTUS1;CKS1B,up,Encode/ChEA TFs
49,KLF4 CHEA,3/987,0.4378868669661632,0.9108046832896192,0,0,1.2406178276781838,1.0244956225634725,AGPAT5;TPPP3;DIS3L2,up,Encode/ChEA TFs
50,NELFE ENCODE,1/234,0.43863070679511895,0.8944626177782821,0,0,1.7442874585731731,1.4374628196689632,AMD1,up,Encode/ChEA TFs
51,TP63 CHEA,4/1399,0.4511046538263692,0.9022093076527382,0,0,1.167014339688699,0.9290086715035828,CPT2;SCN9A;MTUS1;SCAP,up,Encode/ChEA TFs
52,FOS ENCODE,2/637,0.4654522690357789,0.91334030150417,0,0,1.2815173165027394,0.9800348886712046,SETD8;CKS1B,up,Encode/ChEA TFs
53,BCL3 ENCODE,1/273,0.490472063958325,0.9446128639197372,0,0,1.4951035359198626,1.0650922565778227,ABCA7,up,Encode/ChEA TFs
54,RCOR1 ENCODE,2/702,0.5171344569754411,0.9778542459171978,0,0,1.162858305715449,0.7668496619189659,SCAP;ABCA7,up,Encode/ChEA TFs
55,ZBTB33 ENCODE,2/702,0.5171344569754411,0.9603925629543908,0,0,1.162858305715449,0.7668496619189659,GGA1;KBTBD6,up,Encode/ChEA TFs
56,YY1 ENCODE,7/2753,0.5202668849249587,0.9492588777578194,0,0,1.0378288620206528,0.6781312426226801,MED13;ARHGDIA;AMD1;RBM12B;UBAP1;GPATCH4;OTUD3,up,Encode/ChEA TFs
57,EGR1 CHEA,1/315,0.5410587077323515,0.9701742345545614,0,0,1.2957563977972142,0.7958891985200668,AFF1,up,Encode/ChEA TFs
58,PML ENCODE,4/1596,0.5565839462828961,0.9810971256512068,0,0,1.0229655772083268,0.5993936604503582,ZNF672;MED13;CPT2;AMD1,up,Encode/ChEA TFs
59,RAD21 ENCODE,3/1265,0.6067456956884828,1.0,0,0,0.9679761232556264,0.483644941626313,GGA1;MED13;SCAP,up,Encode/ChEA TFs
60,PBX3 ENCODE,3/1269,0.6089329951158075,1.0,0,0,0.9649249770830318,0.4786481804079266,SETD8;AMD1;ABCA7,up,Encode/ChEA TFs
61,HNF4A ENCODE,3/1276,0.6127422302372879,1.0,0,0,0.9596315015034228,0.4700380047395691,COX15;SLC31A1;MTUS1,up,Encode/ChEA TFs
62,BCLAF1 ENCODE,2/851,0.6229481474130114,1.0,0,0,0.9592556176407108,0.4540080041586028,GGA1;AMD1,up,Encode/ChEA TFs
63,TCF3 CHEA,2/1006,0.7136454463848407,1.0,0,0,0.8114577839087921,0.27376071218955506,SCFD2;TAF1,up,Encode/ChEA TFs
64,EGR1 ENCODE,1/537,0.7369093268854613,1.0,0,0,0.7600805685402653,0.2320453193233541,KBTBD6,up,Encode/ChEA TFs
65,SIX5 ENCODE,2/1094,0.7567447765409439,1.0,0,0,0.7461851285303884,0.2079836089943657,KBTBD6;RPL7,up,Encode/ChEA TFs
66,AR CHEA,2/1095,0.7572016453742739,1.0,0,0,0.7455036809244245,0.20734372317770536,UBAP1;RPL7,up,Encode/ChEA TFs
67,TAF7 ENCODE,1/640,0.7972087141369496,1.0,0,0,0.6377551020408164,0.1445400253659436,AMD1,up,Encode/ChEA TFs
68,FLI1 ENCODE,1/650,0.8022844074250245,1.0,0,0,0.6279434850863422,0.13833099607844895,AMD1,up,Encode/ChEA TFs
69,E2F4 ENCODE,1/710,0.8302261031836171,1.0,0,0,0.5748778384593275,0.1069601620092379,CKS1B,up,Encode/ChEA TFs
70,GATA1 CHEA,1/807,0.8674257333373279,1.0,0,0,0.5057785195862732,0.07193454255451331,AFF1,up,Encode/ChEA TFs
71,TCF3 ENCODE,1/840,0.8781590552698343,1.0,0,0,0.4859086491739554,0.06313291808069707,PURB,up,Encode/ChEA TFs
72,E2F1 CHEA,1/859,0.8839476671146219,1.0,0,0,0.4751609607754627,0.05861462934758978,KBTBD6,up,Encode/ChEA TFs
73,NFE2L2 CHEA,1/1022,0.92371606561232,1.0,0,0,0.3993769719237989,0.031690779528547965,SCFD2,up,Encode/ChEA TFs
74,SUZ12 CHEA,1/1684,0.9866356227845148,1.0,0,0,0.24237723593000146,0.0032610606963974303,DNAJA4,up,Encode/ChEA TFs
0,FOXP2 ENCODE,2/178,0.004109370718411461,0.4273745547147919,0,0,20.42900919305413,112.2468921771617,UBALD1;EPN1,down,Encode/ChEA TFs
1,BCL3 ENCODE,2/273,0.009413187820526948,0.4894857666674012,0,0,13.320013320013318,62.146435075644376,EPN1;HIST2H2BE,down,Encode/ChEA TFs
2,SIX5 ENCODE,3/1094,0.01934823833515328,0.6707389289519803,0,0,4.9858733588166855,19.670037755169712,SYT5;UBALD1;PRPF19,down,Encode/ChEA TFs
3,GABPA ENCODE,4/2082,0.02120855893765033,0.5514225323789087,0,0,3.4931447035193433,13.460310733750731,NOXA1;UBALD1;PRPF19;EPN1,down,Encode/ChEA TFs
4,FLI1 ENCODE,2/650,0.04776050318731325,0.9934184662961154,0,0,5.594405594405594,17.01569943611483,PRPF19;EPN1,down,Encode/ChEA TFs
5,ZBTB33 ENCODE,2/702,0.054852843457308016,0.9507826199266723,0,0,5.18000518000518,15.03807952860564,UBALD1;HIST2H2BE,down,Encode/ChEA TFs
6,SUZ12 ENCODE,1/105,0.0562711406066492,0.8360283747273595,0,0,17.316017316017316,49.828112129836285,CDK5R2,down,Encode/ChEA TFs
7,SOX2 CHEA,2/775,0.06541687186768153,0.8504193342798598,0,0,4.6920821114369495,12.79519096380926,IGFBP2;HIST2H2BE,down,Encode/ChEA TFs
8,CTCF ENCODE,3/1790,0.06847495843928869,0.7912661864095583,0,0,3.0472320975114267,8.170504329447656,NOXA1;HIST2H2BE;MATN2,down,Encode/ChEA TFs
9,BCLAF1 ENCODE,2/851,0.07711024364853991,0.801946533944815,0,0,4.273047751308622,10.949766671891636,EPN1;HIST2H2BE,down,Encode/ChEA TFs
10,BRCA1 ENCODE,4/3218,0.08595078576076706,0.8126256108290704,0,0,2.2600146900954847,5.54603176479305,UBALD1;PRPF19;EPN1;HIST2H2BE,down,Encode/ChEA TFs
11,FOXA1 ENCODE,1/205,0.10717076670990663,0.9288133114858574,0,0,8.869179600886918,19.80782054222685,UBALD1,down,Encode/ChEA TFs
12,TRIM28 CHEA,1/210,0.10964896506938844,0.8771917205551076,0,0,8.658008658008658,19.138279157181405,IGFBP2,down,Encode/ChEA TFs
13,CREB1 ENCODE,3/2238,0.11648710004693295,0.8653327432057875,0,0,2.4372410431391662,5.2400066812532025,UBALD1;EPN1;HIST2H2BE,down,Encode/ChEA TFs
14,NFYA ENCODE,3/2250,0.11793016662704554,0.8176491552808491,0,0,2.424242424242424,5.182212455635079,UBALD1;CDK5R2;HIST2H2BE,down,Encode/ChEA TFs
15,STAT5A ENCODE,1/233,0.12096833412743813,0.7862941718283478,0,0,7.803355442840421,16.482453913861264,HIST2H2BE,down,Encode/ChEA TFs
16,NELFE ENCODE,1/234,0.1214574995857652,0.7430341151129165,0,0,7.77000777000777,16.38065947974378,HIST2H2BE,down,Encode/ChEA TFs
17,EZH2 CHEA,1/237,0.12292351156490608,0.710224733486124,0,0,7.671653241273494,16.08126562515525,CDK5R2,down,Encode/ChEA TFs
18,SIN3A ENCODE,2/1131,0.12529408898652125,0.6858202765578005,0,0,3.2151756289687317,6.678214269209817,PRPF19;HIST2H2BE,down,Encode/ChEA TFs
19,NFIC ENCODE,1/279,0.14321551004652938,0.7447206522419527,0,0,6.516780710329098,12.66474239126716,HIST2H2BE,down,Encode/ChEA TFs
20,ELF1 ENCODE,3/2483,0.14739914571873608,0.7299767216546931,0,0,2.196756123457694,4.205933646784338,NOXA1;UBALD1;EPN1,down,Encode/ChEA TFs
21,PBX3 ENCODE,2/1269,0.15138059251919286,0.7156173464543663,0,0,2.8655347804283973,5.410009694077539,CDK5R2;HIST2H2BE,down,Encode/ChEA TFs
22,SRF ENCODE,1/299,0.15272754050288706,0.6905940961869675,0,0,6.0808756460930375,11.4265717609731,UBALD1,down,Encode/ChEA TFs
23,FOXA2 ENCODE,1/316,0.16073717384762146,0.696527753339693,0,0,5.7537399309551205,10.517748610397721,UBALD1,down,Encode/ChEA TFs
24,CREB1 CHEA,2/1444,0.1860604963859059,0.7740116649653686,0,0,2.518257365902795,4.234911631237623,UBALD1;EPN1,down,Encode/ChEA TFs
25,REST ENCODE,1/383,0.19163880649556414,0.7665552259822567,0,0,4.747211013529551,7.8430709462746595,SYT5,down,Encode/ChEA TFs
26,EGR1 ENCODE,1/537,0.2587836914508432,0.9967964411439886,0,0,3.385813441679363,4.576816436002288,SYT5,down,Encode/ChEA TFs
27,TAF1 ENCODE,3/3346,0.2752247751659569,1.0,0,0,1.6301689941857305,2.103190486772746,UBALD1;PRPF19;HIST2H2BE,down,Encode/ChEA TFs
28,NANOG CHEA,1/595,0.2827280861193852,1.0,0,0,3.0557677616501144,3.860258730822833,IGFBP2,down,Encode/ChEA TFs
29,FOS ENCODE,1/637,0.2996257802127125,1.0,0,0,2.8542885685742827,3.440048472290516,UBALD1,down,Encode/ChEA TFs
30,TAF7 ENCODE,1/640,0.3008187968356142,1.0,0,0,2.8409090909090913,3.4126340891441425,HIST2H2BE,down,Encode/ChEA TFs
31,CHD1 ENCODE,1/655,0.3067562154281689,0.9969577001415488,0,0,2.7758501040943786,3.280227434842115,HIST2H2BE,down,Encode/ChEA TFs
32,MAX ENCODE,2/2073,0.3181974801847122,1.0,0,0,1.7541551550234618,2.0086533913551183,UBALD1;PRPF19,down,Encode/ChEA TFs
33,SP1 ENCODE,1/707,0.32698614164953194,1.0,0,0,2.571685740002572,2.8747267307692264,SYT5,down,Encode/ChEA TFs
34,STAT3 ENCODE,1/725,0.3338627745037221,0.9920493870967744,0,0,2.5078369905956106,2.751160439394762,HIST2H2BE,down,Encode/ChEA TFs
35,NFYB ENCODE,3/3715,0.3353517202834014,0.9687938585964928,0,0,1.4682491129328277,1.6041728422386743,UBALD1;PRPF19;HIST2H2BE,down,Encode/ChEA TFs
36,ZNF384 ENCODE,1/730,0.3357615808126385,0.943762281203092,0,0,2.4906600249066,2.7181916607855348,UBALD1,down,Encode/ChEA TFs
37,CEBPD ENCODE,1/734,0.3372770816786211,0.9230741182783312,0,0,2.4770869457517954,2.692223149925556,HIST2H2BE,down,Encode/ChEA TFs
38,ZBTB7A ENCODE,2/2184,0.3418001348558801,0.9114670262823468,0,0,1.6650016650016648,1.7874277618290988,C19ORF60;NOXA1,down,Encode/ChEA TFs
39,E2F1 CHEA,1/859,0.3830816620188029,0.9960123212488874,0,0,2.1166260979997884,2.0309177601220814,PRPF19,down,Encode/ChEA TFs
40,ZMIZ1 ENCODE,1/914,0.4023081084240304,1.0,0,0,1.9892580067634766,1.811293107343637,HIST2H2BE,down,Encode/ChEA TFs
41,SP2 ENCODE,1/994,0.4293024745749882,1.0,0,0,1.829156758734224,1.5467231380264952,CDK5R2,down,Encode/ChEA TFs
42,NFE2L2 CHEA,1/1022,0.4384854186235934,1.0,0,0,1.7790428749332856,1.466694041232205,MATN2,down,Encode/ChEA TFs
43,AR CHEA,1/1095,0.4617985732177806,1.0,0,0,1.6604400166044,1.2828999114607071,MATN2,down,Encode/ChEA TFs
44,ATF2 ENCODE,2/2852,0.4791755174263542,1.0,0,0,1.2750223128904754,0.9380190284313128,UBALD1;HIST2H2BE,down,Encode/ChEA TFs
45,SMC3 ENCODE,1/1181,0.4881324734759645,1.0,0,0,1.5395273650989143,1.1041004509694898,NOXA1,down,Encode/ChEA TFs
46,RAD21 ENCODE,1/1265,0.5127176986034785,1.0,0,0,1.4372978799856269,0.9601579308648546,HIST2H2BE,down,Encode/ChEA TFs
47,REST CHEA,1/1280,0.5169932047081399,1.0,0,0,1.4204545454545454,0.9371101537756756,CDK5R2,down,Encode/ChEA TFs
48,E2F6 ENCODE,2/3245,0.5535160855883952,1.0,0,0,1.1206051267684551,0.6627981125297572,C19ORF60;UBALD1,down,Encode/ChEA TFs
49,MYC ENCODE,1/1515,0.5796734000163849,1.0,0,0,1.2001200120012,0.6544139663534009,UBALD1,down,Encode/ChEA TFs
50,PML ENCODE,1/1596,0.5995007483234265,1.0,0,0,1.1392116655274551,0.5828868264632392,HIST2H2BE,down,Encode/ChEA TFs
51,UBTF ENCODE,1/1631,0.6078019355653598,1.0,0,0,1.1147650632629171,0.5550484521055797,UBALD1,down,Encode/ChEA TFs
52,SUZ12 CHEA,1/1684,0.6200748442737805,1.0,0,0,1.0796804145972791,0.5159955643036548,CDK5R2,down,Encode/ChEA TFs
53,YY1 ENCODE,1/2753,0.8039662950400369,1.0,0,0,0.6604365485585972,0.14410588929359644,UBALD1,down,Encode/ChEA TFs
0,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),2/58,0.008906341303457722,1.0,0,0,14.074595355383533,66.44604855664258,PTPRD;ARHGDIA,up,GO BP
1,negative regulation of T cell differentiation in thymus (GO:0033085),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,ZC3H8,up,GO BP
2,polyamine biosynthetic process (GO:0006596),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,AMD1,up,GO BP
3,white fat cell differentiation (GO:0050872),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,CTBP2,up,GO BP
4,positive regulation of amyloid-beta clearance (GO:1900223),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,ABCA7,up,GO BP
5,spermine metabolic process (GO:0008215),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,AMD1,up,GO BP
6,transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,PTPRD,up,GO BP
7,regulation of thymocyte apoptotic process (GO:0070243),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,ZC3H8,up,GO BP
8,SREBP signaling pathway (GO:0032933),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,SCAP,up,GO BP
9,snRNA transcription from RNA polymerase III promoter (GO:0042796),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,ZC3H8,up,GO BP
10,positive regulation of phospholipid transport (GO:2001140),1/6,0.014611943812165882,1.0,0,0,68.02721088435375,287.4772799576697,ABCA7,up,GO BP
11,viral process (GO:0016032),3/220,0.016685958195123637,1.0,0,0,5.565862708719852,22.782121001252648,CTBP2;UBAP1;RPL7,up,GO BP
12,spermidine metabolic process (GO:0008216),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,AMD1,up,GO BP
13,negative regulation of glycoprotein biosynthetic process (GO:0010561),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,ABCA7,up,GO BP
14,positive regulation of apoptotic cell clearance (GO:2000427),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,ABCA7,up,GO BP
15,regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,TAF1,up,GO BP
16,regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045714),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,SCAP,up,GO BP
17,cellular response to sterol depletion (GO:0071501),1/7,0.01702685745129035,1.0,0,0,58.30903790087464,237.4905732653241,SCAP,up,GO BP
18,regulation of receptor binding (GO:1900120),1/8,0.019435974184612268,1.0,0,0,51.020408163265316,201.05253013595427,ADAM15,up,GO BP
19,viral mRNA export from host cell nucleus (GO:0046784),1/8,0.019435974184612268,1.0,0,0,51.020408163265316,201.05253013595427,THOC3,up,GO BP
20,translocation of molecules into host (GO:0044417),1/8,0.019435974184612268,1.0,0,0,51.020408163265316,201.05253013595427,THOC3,up,GO BP
21,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,RPL7,up,GO BP
22,regulation of skeletal muscle cell differentiation (GO:2001014),1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,KLHL41,up,GO BP
23,negative regulation of alcohol biosynthetic process (GO:1902931),1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,SCAP,up,GO BP
24,negative regulation of amyloid-beta formation (GO:1902430),1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,ABCA7,up,GO BP
25,regulation of amyloid precursor protein biosynthetic process (GO:0042984),1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,ABCA7,up,GO BP
26,mRNA metabolic process (GO:0016071),2/97,0.023615958347704524,1.0,0,0,8.415737428992216,31.523943566569788,PABPC3;DIS3L2,up,GO BP
27,cellular biogenic amine metabolic process (GO:0006576),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,AMD1,up,GO BP
28,cytochrome complex assembly (GO:0017004),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,COX15,up,GO BP
29,cellular response to ATP (GO:0071318),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,TAF1,up,GO BP
30,T cell homeostasis (GO:0043029),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,ZC3H8,up,GO BP
31,negative regulation of inclusion body assembly (GO:0090084),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,DNAJA4,up,GO BP
32,positive regulation of transcription from RNA polymerase III promoter (GO:0045945),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,ZC3H8,up,GO BP
33,regulation of amyloid-beta clearance (GO:1900221),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,ABCA7,up,GO BP
34,positive regulation of T cell apoptotic process (GO:0070234),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,ZC3H8,up,GO BP
35,"regulation of DNA-templated transcription, initiation (GO:2000142)",1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,TAF1,up,GO BP
36,protein K11-linked deubiquitination (GO:0035871),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,OTUD3,up,GO BP
37,positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,TAF1,up,GO BP
38,presynaptic membrane assembly (GO:0097105),1/10,0.024236870821197704,1.0,0,0,40.81632653061225,151.83184561831845,PTPRD,up,GO BP
39,presynaptic membrane organization (GO:0097090),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,PTPRD,up,GO BP
40,protein kinase C signaling (GO:0070528),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,ADAM15,up,GO BP
41,carnitine shuttle (GO:0006853),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,CPT2,up,GO BP
42,regulation of hemopoiesis (GO:1903706),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,PURB,up,GO BP
43,positive regulation of receptor biosynthetic process (GO:0010870),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,SCAP,up,GO BP
44,negative regulation of amyloid precursor protein catabolic process (GO:1902992),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,ABCA7,up,GO BP
45,fatty acid transmembrane transport (GO:1902001),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,CPT2,up,GO BP
46,regulation of inclusion body assembly (GO:0090083),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,DNAJA4,up,GO BP
47,RNA polymerase II transcriptional preinitiation complex assembly (GO:0051123),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,TAF1,up,GO BP
48,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000059),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,TAF1,up,GO BP
49,negative regulation of T cell differentiation (GO:0045581),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,ZC3H8,up,GO BP
50,negative regulation of receptor binding (GO:1900121),1/11,0.02662867767591582,1.0,0,0,37.10575139146568,134.53679168157848,ADAM15,up,GO BP
51,viral life cycle (GO:0019058),2/107,0.02832391378045997,1.0,0,0,7.629219912263972,27.1909122353048,CTBP2;UBAP1,up,GO BP
52,modification-dependent macromolecule catabolic process (GO:0043632),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,DIS3L2,up,GO BP
53,skeletal muscle cell differentiation (GO:0035914),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,KLHL41,up,GO BP
54,regulation of skeletal muscle tissue development (GO:0048641),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,KLHL41,up,GO BP
55,regulation of T cell differentiation in thymus (GO:0033081),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,ZC3H8,up,GO BP
56,phospholipid efflux (GO:0033700),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,ABCA7,up,GO BP
57,skeletal muscle fiber development (GO:0048741),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,KLHL41,up,GO BP
58,polyamine metabolic process (GO:0006595),1/12,0.029014741507151907,1.0,0,0,34.013605442176875,120.40650511284572,AMD1,up,GO BP
59,transcription from RNA polymerase II promoter (GO:0006366),4/485,0.030683649963338312,1.0,0,0,3.3662949715968864,11.728256985453374,MED13;ZC3H8;THOC3;TAF1,up,GO BP
60,DNA-templated transcriptional preinitiation complex assembly (GO:0070897),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,TAF1,up,GO BP
61,regulation of retinoic acid receptor signaling pathway (GO:0048385),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,CTBP2,up,GO BP
62,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,TAF1,up,GO BP
63,DNA replication-independent nucleosome organization (GO:0034724),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,CABIN1,up,GO BP
64,positive regulation of cholesterol efflux (GO:0010875),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,ABCA7,up,GO BP
65,high-density lipoprotein particle assembly (GO:0034380),1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,ABCA7,up,GO BP
66,copper ion transport (GO:0006825),1/14,0.033769693865094014,1.0,0,0,29.15451895043732,98.7810935836037,SLC31A1,up,GO BP
67,myotube cell development (GO:0014904),1/14,0.033769693865094014,1.0,0,0,29.15451895043732,98.7810935836037,KLHL41,up,GO BP
68,response to ATP (GO:0033198),1/14,0.033769693865094014,1.0,0,0,29.15451895043732,98.7810935836037,TAF1,up,GO BP
69,regulation of cell differentiation (GO:0045595),2/121,0.0354871305334787,1.0,0,0,6.74650025299376,22.523765683324623,PURB;KLHL41,up,GO BP
70,intracellular lipid transport (GO:0032365),1/15,0.03613860922017235,1.0,0,0,27.2108843537415,90.3508429299313,CPT2,up,GO BP
71,presynapse assembly (GO:0099054),1/15,0.03613860922017235,1.0,0,0,27.2108843537415,90.3508429299313,PTPRD,up,GO BP
72,synaptic vesicle transport along microtubule (GO:0099517),1/15,0.03613860922017235,1.0,0,0,27.2108843537415,90.3508429299313,AP3M1,up,GO BP
73,regulation of macrophage chemotaxis (GO:0010758),1/15,0.03613860922017235,1.0,0,0,27.2108843537415,90.3508429299313,MTUS1,up,GO BP
74,anterograde synaptic vesicle transport (GO:0048490),1/15,0.03613860922017235,1.0,0,0,27.2108843537415,90.3508429299313,AP3M1,up,GO BP
75,miRNA metabolic process (GO:0010586),1/16,0.03850183520662026,1.0,0,0,25.510204081632647,83.08799416122565,DIS3L2,up,GO BP
76,heme biosynthetic process (GO:0006783),1/16,0.03850183520662026,1.0,0,0,25.510204081632647,83.08799416122565,COX15,up,GO BP
77,regulation of cell cycle phase transition (GO:1901987),1/16,0.03850183520662026,1.0,0,0,25.510204081632647,83.08799416122565,TAF1,up,GO BP
78,negative regulation of transcription regulatory region DNA binding (GO:2000678),1/16,0.03850183520662026,1.0,0,0,25.510204081632647,83.08799416122565,TAF1,up,GO BP
